LoanID,AccountID,LoanStatusID,PrincipalAmount,InterestRate,StartDate,EstimatedEndDate
400143,201218,1,4806.2,0.0899,2021-09-27 00:00:00.000000,2023-03-12 00:00:00.000000
400202,201346,1,16092.64,0.0976,2022-09-28 00:00:00.000000,2023-10-24 00:00:00.000000
400111,201428,1,87544.32,0.0655,2021-05-02 00:00:00.000000,2024-03-01 00:00:00.000000
400006,200822,2,28952.23,0.0345,2021-12-29 00:00:00.000000,2025-12-17 00:00:00.000000
400262,201288,1,46195.74,0.1118,2021-01-01 00:00:00.000000,2022-01-25 00:00:00.000000
400302,200932,1,76955.79,0.1077,2021-06-27 00:00:00.000000,2025-01-14 00:00:00.000000
400198,201044,1,26204.77,0.1407,2022-10-03 00:00:00.000000,2026-10-13 00:00:00.000000
400304,200311,1,5763.32,0.1186,2021-10-10 00:00:00.000000,2024-11-08 00:00:00.000000
400126,201381,1,80854.81,0.1319,2022-03-03 00:00:00.000000,2026-05-01 00:00:00.000000
400101,200346,1,83796.69,0.1315,2022-10-26 00:00:00.000000,2025-11-07 00:00:00.000000
400177,200177,2,10195.48,0.0953,2021-09-18 00:00:00.000000,2023-07-13 00:00:00.000000
400090,201578,1,18048.87,0.0678,2023-03-05 00:00:00.000000,2026-04-26 00:00:00.000000
400032,200333,1,82144.49,0.132,2022-03-18 00:00:00.000000,2023-04-04 00:00:00.000000
400039,200466,1,72665.87,0.1324,2022-10-15 00:00:00.000000,2027-05-15 00:00:00.000000
400076,200005,1,27208.83,0.0873,2021-01-22 00:00:00.000000,2025-09-23 00:00:00.000000
400265,201477,1,52160.39,0.0984,2021-02-06 00:00:00.000000,2025-02-18 00:00:00.000000
400303,200252,1,41063.62,0.0579,2022-08-19 00:00:00.000000,2025-10-16 00:00:00.000000
400182,200087,2,87988.21,0.0612,2021-05-29 00:00:00.000000,2024-01-31 00:00:00.000000
400296,200335,1,64568.16,0.0476,2021-06-14 00:00:00.000000,2023-07-20 00:00:00.000000
400306,201149,3,44352.65,0.0327,2021-06-19 00:00:00.000000,2024-08-29 00:00:00.000000
400179,200715,1,95797.71,0.1006,2022-07-07 00:00:00.000000,2027-05-27 00:00:00.000000
400261,201449,3,59380.52,0.0677,2021-02-20 00:00:00.000000,2022-11-27 00:00:00.000000
400069,201265,1,47566.87,0.1065,2021-04-22 00:00:00.000000,2023-12-29 00:00:00.000000
400083,200846,1,35657.3,0.0748,2022-08-28 00:00:00.000000,2025-03-04 00:00:00.000000
400301,200075,1,27657.83,0.048,2023-03-05 00:00:00.000000,2028-01-08 00:00:00.000000
400189,200689,1,2117.59,0.0329,2021-05-19 00:00:00.000000,2024-09-03 00:00:00.000000
400246,201249,1,74412.22,0.1066,2021-07-31 00:00:00.000000,2025-10-18 00:00:00.000000
400251,200119,1,75297.62,0.0918,2022-10-29 00:00:00.000000,2025-01-01 00:00:00.000000
400119,200802,3,41375.81,0.0703,2021-07-24 00:00:00.000000,2024-08-30 00:00:00.000000
400321,200312,1,1396.1,0.1229,2021-05-03 00:00:00.000000,2025-12-22 00:00:00.000000
400062,201073,1,79515.81,0.1193,2021-10-23 00:00:00.000000,2023-06-06 00:00:00.000000
400282,200498,1,73755.24,0.048,2023-03-05 00:00:00.000000,2026-04-19 00:00:00.000000
400160,201504,1,23193.37,0.1402,2021-07-09 00:00:00.000000,2024-10-30 00:00:00.000000
400291,200343,1,40879.03,0.0473,2021-11-01 00:00:00.000000,2026-10-04 00:00:00.000000
400308,201515,2,76525.78,0.1099,2022-04-08 00:00:00.000000,2023-11-25 00:00:00.000000
400324,200598,1,83919.49,0.1321,2021-01-22 00:00:00.000000,2023-08-21 00:00:00.000000
400200,201599,1,35902.5,0.0358,2022-08-30 00:00:00.000000,2027-05-23 00:00:00.000000
400285,200270,3,14857.72,0.0731,2022-05-24 00:00:00.000000,2023-08-07 00:00:00.000000
400009,201103,1,82121.58,0.0766,2022-11-02 00:00:00.000000,2025-04-16 00:00:00.000000
400020,200017,1,89097.17,0.1232,2021-09-21 00:00:00.000000,2025-10-23 00:00:00.000000
400112,201077,2,7431.11,0.0634,2021-02-19 00:00:00.000000,2024-02-10 00:00:00.000000
400295,200050,2,54953.1,0.0674,2021-01-03 00:00:00.000000,2023-01-19 00:00:00.000000
400244,200420,1,34846.6,0.0816,2021-07-26 00:00:00.000000,2026-05-16 00:00:00.000000
400254,200785,1,87783.19,0.108,2021-10-30 00:00:00.000000,2023-10-14 00:00:00.000000
400057,201317,2,83339.02,0.0924,2021-04-24 00:00:00.000000,2023-05-06 00:00:00.000000
400019,201054,1,17917.14,0.0362,2022-11-01 00:00:00.000000,2025-06-27 00:00:00.000000
400001,201103,1,63899.0,0.0793,2021-04-10 00:00:00.000000,2025-02-10 00:00:00.000000
400180,201470,1,38913.5,0.1236,2022-03-10 00:00:00.000000,2023-08-15 00:00:00.000000
400010,200002,1,42380.44,0.0809,2022-05-04 00:00:00.000000,2025-01-24 00:00:00.000000
400108,200846,2,27885.31,0.103,2021-04-02 00:00:00.000000,2023-07-25 00:00:00.000000
400175,200310,2,16484.84,0.0329,2022-06-03 00:00:00.000000,2023-08-15 00:00:00.000000
400174,200119,1,83659.7,0.0693,2023-01-09 00:00:00.000000,2025-01-08 00:00:00.000000
400151,201643,1,99063.01,0.0682,2022-07-22 00:00:00.000000,2026-09-28 00:00:00.000000
400293,200851,1,70782.7,0.0847,2021-04-19 00:00:00.000000,2023-01-20 00:00:00.000000
400313,200812,1,35479.87,0.1219,2022-09-11 00:00:00.000000,2023-10-30 00:00:00.000000
400187,201022,1,1473.13,0.0947,2021-01-23 00:00:00.000000,2025-10-31 00:00:00.000000
400149,201143,2,99065.5,0.0484,2021-08-23 00:00:00.000000,2026-03-25 00:00:00.000000
400222,200427,1,3322.19,0.1456,2021-05-11 00:00:00.000000,2022-11-06 00:00:00.000000
400048,201489,1,99830.19,0.1134,2022-10-31 00:00:00.000000,2024-03-09 00:00:00.000000
400040,200648,2,11854.46,0.0725,2021-06-26 00:00:00.000000,2025-03-02 00:00:00.000000
400124,200063,3,89209.9,0.0429,2022-12-27 00:00:00.000000,2025-02-20 00:00:00.000000
400268,200514,2,8523.16,0.0305,2021-04-17 00:00:00.000000,2025-05-17 00:00:00.000000
400007,200255,2,64001.15,0.0792,2022-12-05 00:00:00.000000,2027-04-03 00:00:00.000000
400104,201597,2,36389.88,0.0511,2022-08-19 00:00:00.000000,2024-05-31 00:00:00.000000
400094,201223,3,7563.51,0.0422,2022-11-15 00:00:00.000000,2025-07-02 00:00:00.000000
400096,201433,1,58140.94,0.0817,2022-03-14 00:00:00.000000,2026-06-30 00:00:00.000000
400148,200716,1,17620.82,0.0488,2022-07-15 00:00:00.000000,2027-05-21 00:00:00.000000
400255,201629,1,27852.86,0.064,2021-09-24 00:00:00.000000,2024-07-03 00:00:00.000000
400116,200637,2,8683.56,0.1288,2021-08-21 00:00:00.000000,2022-12-22 00:00:00.000000
400247,200116,2,43125.92,0.0992,2023-01-01 00:00:00.000000,2027-01-11 00:00:00.000000
400234,200817,2,38023.02,0.1116,2021-10-26 00:00:00.000000,2025-02-06 00:00:00.000000
400085,200315,1,35193.45,0.1363,2022-01-12 00:00:00.000000,2024-03-11 00:00:00.000000
400256,200663,1,84671.11,0.0678,2021-04-04 00:00:00.000000,2025-01-23 00:00:00.000000
400058,200883,1,50198.39,0.0968,2022-08-13 00:00:00.000000,2027-05-14 00:00:00.000000
400137,200101,2,89648.09,0.1181,2022-06-09 00:00:00.000000,2026-09-10 00:00:00.000000
400070,200676,3,28930.44,0.1018,2022-06-21 00:00:00.000000,2027-06-07 00:00:00.000000
400117,200262,1,59673.83,0.1411,2022-11-13 00:00:00.000000,2026-03-31 00:00:00.000000
400216,200003,1,57741.55,0.0734,2023-02-24 00:00:00.000000,2026-03-31 00:00:00.000000
400203,200770,1,14254.2,0.0964,2022-05-11 00:00:00.000000,2023-06-05 00:00:00.000000
400049,200684,1,8876.03,0.094,2023-01-27 00:00:00.000000,2026-09-11 00:00:00.000000
400033,201128,1,13516.43,0.0991,2021-08-17 00:00:00.000000,2024-02-28 00:00:00.000000
400196,201336,1,78063.86,0.1359,2022-05-01 00:00:00.000000,2026-08-14 00:00:00.000000
400106,200834,1,11879.52,0.088,2022-09-13 00:00:00.000000,2026-11-24 00:00:00.000000
400050,200578,1,79026.18,0.0883,2022-11-05 00:00:00.000000,2025-09-23 00:00:00.000000
400299,201121,1,27223.9,0.0417,2021-07-02 00:00:00.000000,2026-05-18 00:00:00.000000
400114,201541,3,55584.62,0.1377,2022-07-02 00:00:00.000000,2023-12-12 00:00:00.000000
400232,200683,2,30825.35,0.1469,2023-02-09 00:00:00.000000,
400121,200360,1,16268.74,0.0609,2022-12-18 00:00:00.000000,2027-04-10 00:00:00.000000
400107,200498,1,68503.05,0.1277,2023-02-03 00:00:00.000000,2027-02-22 00:00:00.000000
400035,201081,2,50421.73,0.0681,2021-11-25 00:00:00.000000,2025-07-08 00:00:00.000000
400123,200717,1,64860.93,0.0919,2023-02-16 00:00:00.000000,2027-01-24 00:00:00.000000
400051,200946,1,58822.33,0.1198,2021-02-27 00:00:00.000000,2022-10-27 00:00:00.000000
400158,200223,1,38787.45,0.1085,2021-01-27 00:00:00.000000,2024-12-05 00:00:00.000000
400309,200157,1,47661.39,0.0686,2021-11-29 00:00:00.000000,2026-08-26 00:00:00.000000
400133,200391,3,87987.99,0.0402,2023-02-16 00:00:00.000000,2024-10-14 00:00:00.000000
400224,201172,2,78661.15,0.1195,2022-02-18 00:00:00.000000,2023-06-15 00:00:00.000000
400003,200512,1,15797.11,0.0636,2021-10-30 00:00:00.000000,2025-01-21 00:00:00.000000
400318,200941,2,43704.85,0.0446,2022-03-18 00:00:00.000000,
400314,200982,1,74680.25,0.087,,2024-08-31 00:00:00.000000
400322,201361,1,79157.89,0.1236,2023-02-20 00:00:00.000000,2025-03-18 00:00:00.000000
400142,200768,1,62681.63,0.0977,2021-04-18 00:00:00.000000,2026-02-24 00:00:00.000000
400201,200414,1,79637.45,0.0483,2022-08-21 00:00:00.000000,2027-01-11 00:00:00.000000
400075,200206,1,90788.26,0.0425,2022-03-06 00:00:00.000000,2026-02-15 00:00:00.000000
400065,201638,2,40746.65,0.0522,2021-09-07 00:00:00.000000,2022-12-07 00:00:00.000000
400074,200205,2,56372.03,0.0489,2023-01-30 00:00:00.000000,2026-02-24 00:00:00.000000
400287,200111,1,44265.25,0.1135,2021-07-19 00:00:00.000000,2026-06-20 00:00:00.000000
400289,200746,1,15581.58,0.0969,2022-02-01 00:00:00.000000,2024-12-03 00:00:00.000000
400264,201456,3,70349.1,0.1297,2022-07-28 00:00:00.000000,2025-09-02 00:00:00.000000
400227,200012,1,88591.01,0.0846,2022-11-04 00:00:00.000000,2024-07-08 00:00:00.000000
400078,201604,1,97866.11,0.1054,2021-04-16 00:00:00.000000,2024-11-18 00:00:00.000000
400195,201524,3,85139.66,0.0573,2022-07-18 00:00:00.000000,2025-05-23 00:00:00.000000
400199,200911,3,78332.61,0.1131,2021-03-25 00:00:00.000000,2023-07-03 00:00:00.000000
400103,201580,1,48726.88,0.0642,2021-12-27 00:00:00.000000,2025-07-29 00:00:00.000000
400236,201198,3,13704.05,0.0413,2021-01-10 00:00:00.000000,2025-07-10 00:00:00.000000
400118,200948,1,17211.8,0.046,2022-05-07 00:00:00.000000,2023-09-14 00:00:00.000000
400029,201214,1,3658.5,0.0865,2021-08-02 00:00:00.000000,2023-01-02 00:00:00.000000
400250,201229,3,88517.0,0.075,2022-05-10 00:00:00.000000,2023-12-20 00:00:00.000000
400157,200436,1,20469.85,0.0382,2022-11-08 00:00:00.000000,2026-04-12 00:00:00.000000
400016,200225,1,81786.64,0.136,2022-06-01 00:00:00.000000,2026-01-09 00:00:00.000000
400286,201206,1,23406.84,0.0676,2021-06-24 00:00:00.000000,2024-11-23 00:00:00.000000
400139,201086,1,8731.49,0.0763,2022-06-13 00:00:00.000000,2024-01-16 00:00:00.000000
400252,200279,3,23508.35,0.0607,2021-09-16 00:00:00.000000,2026-03-31 00:00:00.000000
400207,200613,1,36852.66,0.0527,2022-12-21 00:00:00.000000,2024-07-02 00:00:00.000000
400188,200424,1,75583.81,0.0829,2023-02-18 00:00:00.000000,2024-10-09 00:00:00.000000
400071,200788,1,98478.6,0.0833,2021-08-19 00:00:00.000000,2022-11-23 00:00:00.000000
400026,201235,1,36366.26,0.0968,2021-09-30 00:00:00.000000,2022-11-12 00:00:00.000000
400280,201619,3,64238.32,0.147,2021-11-03 00:00:00.000000,2026-09-10 00:00:00.000000
400208,200943,1,6507.99,0.0969,2021-04-13 00:00:00.000000,2024-01-21 00:00:00.000000
400329,201552,1,28696.43,0.1398,2022-02-20 00:00:00.000000,2023-05-20 00:00:00.000000
400279,200517,2,65043.15,0.1027,2022-04-03 00:00:00.000000,2024-09-08 00:00:00.000000
400099,200211,1,58849.83,0.1063,2021-12-07 00:00:00.000000,2026-07-20 00:00:00.000000
400220,200300,1,64057.79,0.1046,2021-08-06 00:00:00.000000,2025-10-09 00:00:00.000000
400044,201292,1,43976.71,0.1051,2021-06-22 00:00:00.000000,2025-04-18 00:00:00.000000
400109,200903,1,1128.49,0.0853,2022-05-29 00:00:00.000000,2026-04-18 00:00:00.000000
400326,200931,1,64509.02,0.0775,2022-10-24 00:00:00.000000,2025-11-24 00:00:00.000000
400087,201406,2,82452.32,0.1001,2022-06-09 00:00:00.000000,2027-04-22 00:00:00.000000
400159,200578,1,70814.41,0.1138,2022-03-15 00:00:00.000000,2024-12-08 00:00:00.000000
400146,201527,1,16811.7,0.0596,2021-01-10 00:00:00.000000,2022-08-13 00:00:00.000000
400134,201434,1,83896.24,0.0974,2021-02-21 00:00:00.000000,2023-08-19 00:00:00.000000
400273,200056,1,15613.66,0.073,2022-11-06 00:00:00.000000,2025-04-12 00:00:00.000000
400122,201280,1,47753.35,0.0844,2022-09-25 00:00:00.000000,2023-12-07 00:00:00.000000
400276,201022,1,82590.09,0.1426,2021-11-24 00:00:00.000000,2025-09-22 00:00:00.000000
400064,200511,2,16385.38,0.1002,2022-03-13 00:00:00.000000,2024-12-05 00:00:00.000000
400217,200410,2,14932.62,0.1226,2023-02-09 00:00:00.000000,2024-12-29 00:00:00.000000
400081,200617,2,36519.6,0.1388,2022-03-11 00:00:00.000000,2026-10-07 00:00:00.000000
400059,200639,1,52339.53,0.0621,2022-09-29 00:00:00.000000,2027-03-29 00:00:00.000000
400183,200619,1,68151.05,0.1453,,2024-06-18 00:00:00.000000
400154,200317,1,72913.28,0.0776,2021-05-11 00:00:00.000000,2023-06-10 00:00:00.000000
400036,201088,2,97550.01,0.0783,2021-12-17 00:00:00.000000,2025-06-24 00:00:00.000000
400292,200126,1,24768.37,0.0979,2021-06-09 00:00:00.000000,2024-08-02 00:00:00.000000
400164,200756,3,22340.97,0.1426,2023-01-27 00:00:00.000000,2024-06-16 00:00:00.000000
400209,201322,2,87020.31,0.0353,2022-04-29 00:00:00.000000,2023-05-20 00:00:00.000000
400012,201356,2,27964.95,0.0722,2021-05-04 00:00:00.000000,2022-08-21 00:00:00.000000
400089,200982,1,2318.99,0.0924,2023-01-02 00:00:00.000000,2027-04-28 00:00:00.000000
400005,200353,3,65948.85,0.072,2021-07-17 00:00:00.000000,2023-10-21 00:00:00.000000
400145,200232,1,52660.1,0.0554,2023-02-23 00:00:00.000000,2027-12-04 00:00:00.000000
400272,200265,1,28872.26,0.1195,2022-05-23 00:00:00.000000,2024-03-22 00:00:00.000000
400277,201438,2,59895.91,0.0974,2023-02-23 00:00:00.000000,2024-03-13 00:00:00.000000
400281,200475,1,98439.14,0.1057,2022-04-17 00:00:00.000000,2027-02-23 00:00:00.000000
400004,201107,1,37284.69,0.0718,2021-03-25 00:00:00.000000,2023-02-11 00:00:00.000000
400060,200266,2,99733.08,0.1017,2022-01-18 00:00:00.000000,2024-07-04 00:00:00.000000
400192,200376,1,72508.87,0.0552,2021-08-05 00:00:00.000000,2022-08-12 00:00:00.000000
400025,200180,1,10436.77,0.1284,2021-02-24 00:00:00.000000,2025-06-16 00:00:00.000000
400186,200971,2,43412.87,0.0562,2022-12-01 00:00:00.000000,2026-08-04 00:00:00.000000
400270,200824,1,77144.41,0.0456,,2024-09-27 00:00:00.000000
400127,201065,1,58856.94,0.0365,2021-07-02 00:00:00.000000,2025-09-17 00:00:00.000000
400028,201494,3,38941.88,0.1249,2021-08-31 00:00:00.000000,2024-01-05 00:00:00.000000
400163,200728,1,11216.36,0.1208,2022-05-04 00:00:00.000000,2026-08-18 00:00:00.000000
400138,201384,1,62787.76,0.1291,2022-08-28 00:00:00.000000,2024-12-22 00:00:00.000000
400054,200843,3,63543.29,0.1231,2021-05-28 00:00:00.000000,2023-09-13 00:00:00.000000
400238,200275,1,91246.18,0.1171,2022-09-29 00:00:00.000000,2025-01-02 00:00:00.000000
400115,200474,3,12279.78,0.0323,2022-12-31 00:00:00.000000,2024-11-02 00:00:00.000000
400013,201406,1,34767.61,0.0561,2023-01-28 00:00:00.000000,2028-01-12 00:00:00.000000
400131,200970,1,18204.87,0.1418,2022-10-05 00:00:00.000000,2027-04-29 00:00:00.000000
400043,201360,1,64131.66,0.095,2023-02-26 00:00:00.000000,
400125,201517,1,75999.06,0.1267,2022-01-18 00:00:00.000000,2024-04-01 00:00:00.000000
400129,200617,1,54593.64,0.1132,2021-03-19 00:00:00.000000,2023-12-16 00:00:00.000000
400173,201164,1,72030.09,0.0789,2022-08-23 00:00:00.000000,2026-12-19 00:00:00.000000
400014,200029,1,20092.86,0.0636,2021-07-30 00:00:00.000000,2026-03-22 00:00:00.000000
400027,201270,1,78049.58,0.0601,2022-09-17 00:00:00.000000,2025-10-30 00:00:00.000000
400015,200229,1,26300.12,0.0902,2021-12-28 00:00:00.000000,2026-08-31 00:00:00.000000
400052,200433,1,84790.28,0.1027,,2025-01-27 00:00:00.000000
400266,200422,1,25027.83,0.1361,2022-09-12 00:00:00.000000,2027-01-11 00:00:00.000000
400102,200707,1,86520.89,0.0307,2021-11-18 00:00:00.000000,2023-07-06 00:00:00.000000
400312,201238,1,20250.86,0.1238,2022-04-14 00:00:00.000000,2023-05-09 00:00:00.000000
400263,201135,1,73003.39,0.0891,2021-06-18 00:00:00.000000,2022-09-05 00:00:00.000000
400067,200917,1,48227.66,0.1105,2022-10-16 00:00:00.000000,2025-09-19 00:00:00.000000
400091,201053,1,47644.19,0.0822,2022-12-03 00:00:00.000000,2026-07-17 00:00:00.000000
400061,200825,1,54672.65,0.0819,2021-04-21 00:00:00.000000,2023-07-01 00:00:00.000000
400298,201355,1,90886.2,0.0663,2021-10-05 00:00:00.000000,2024-02-17 00:00:00.000000
400128,200438,1,57775.26,0.1101,2022-10-19 00:00:00.000000,2025-10-05 15:01:44.339772
400000,201241,3,52255.85,0.1283,2021-04-05 00:00:00.000000,2022-08-16 00:00:00.000000
400150,201628,1,3503.09,0.1211,2021-02-15 00:00:00.000000,2025-09-21 00:00:00.000000
400229,200120,1,21375.07,0.1136,,2024-09-26 00:00:00.000000
400166,201526,3,29609.93,0.0489,2022-08-17 00:00:00.000000,2026-10-28 00:00:00.000000
400311,200871,1,53911.37,0.0539,2021-09-21 00:00:00.000000,2025-07-13 00:00:00.000000
400316,200462,1,31471.08,0.1104,2021-07-13 00:00:00.000000,2024-03-13 00:00:00.000000
400073,201395,1,5297.92,0.1311,2022-04-09 00:00:00.000000,2023-08-01 00:00:00.000000
400325,200397,1,24534.48,0.1021,2026-08-29 15:01:44.338382,
400310,201460,1,71795.09,0.1106,2021-09-21 00:00:00.000000,2026-01-17 00:00:00.000000
400110,200777,1,68552.73,0.1141,2021-01-08 00:00:00.000000,2025-04-14 00:00:00.000000
400213,200598,3,46033.42,0.0555,2021-08-04 00:00:00.000000,2024-06-20 00:00:00.000000
400210,200536,3,15545.33,0.0897,2021-01-02 00:00:00.000000,2023-07-24 00:00:00.000000
400271,200362,1,21884.17,0.0921,2023-02-08 00:00:00.000000,2026-09-24 00:00:00.000000
400283,200160,1,49796.21,0.0653,2021-06-12 00:00:00.000000,2023-08-07 00:00:00.000000
400169,200338,2,83104.84,0.1367,2021-06-03 00:00:00.000000,2026-03-31 00:00:00.000000
400197,201478,1,92371.27,0.0527,2021-02-08 00:00:00.000000,2022-04-15 00:00:00.000000
400172,200221,1,69014.96,0.1232,2021-08-13 00:00:00.000000,2022-12-02 00:00:00.000000
400315,201462,1,76957.94,0.0431,2021-01-27 00:00:00.000000,2022-04-17 00:00:00.000000
400319,201109,1,43211.52,0.0863,2022-04-17 00:00:00.000000,2025-11-17 00:00:00.000000
400030,201597,3,20518.94,0.117,2022-11-14 00:00:00.000000,2027-01-18 00:00:00.000000
400211,201264,1,91955.58,0.0869,2021-07-13 00:00:00.000000,2026-04-27 00:00:00.000000
400215,200475,1,58687.93,0.1413,2022-07-11 00:00:00.000000,2024-05-10 00:00:00.000000
400063,200269,2,27495.55,0.14,2021-07-18 00:00:00.000000,2026-04-23 15:01:44.339772
400105,201562,1,81783.1,0.048,2022-08-15 00:00:00.000000,
400088,200502,1,44398.15,0.078,2021-08-26 00:00:00.000000,2026-08-02 00:00:00.000000
400225,200537,1,84322.28,0.1428,2022-03-08 00:00:00.000000,2024-12-21 00:00:00.000000
400136,200042,1,74135.38,0.1104,2023-01-05 00:00:00.000000,2027-12-06 00:00:00.000000
400042,200107,1,42758.63,0.1214,2022-03-18 00:00:00.000000,2025-10-13 00:00:00.000000
400297,200915,1,17852.81,0.1182,2022-05-19 00:00:00.000000,2026-11-26 00:00:00.000000
400243,200311,1,95007.79,0.0494,2022-11-15 00:00:00.000000,2024-08-11 00:00:00.000000
400055,200017,1,28925.48,0.0957,2022-05-04 00:00:00.000000,2026-04-17 00:00:00.000000
400294,200441,1,47505.71,0.0547,2022-03-12 00:00:00.000000,2025-12-04 00:00:00.000000
400167,200441,1,49147.72,0.0551,2023-02-27 00:00:00.000000,2026-12-31 00:00:00.000000
400152,200139,3,63720.18,0.0837,2021-03-16 00:00:00.000000,2024-02-02 00:00:00.000000
400161,201162,1,54508.9,0.137,2022-02-01 00:00:00.000000,2024-02-01 00:00:00.000000
400239,200178,3,37183.71,0.1208,2022-02-10 00:00:00.000000,2026-10-04 00:00:00.000000
400045,200874,1,73387.28,0.0608,2021-12-22 00:00:00.000000,2026-09-02 00:00:00.000000
400305,201222,2,11486.53,0.0898,2021-01-25 00:00:00.000000,2023-04-07 00:00:00.000000
400274,201131,1,52436.38,0.1256,2023-01-23 00:00:00.000000,2025-05-27 00:00:00.000000
400023,200186,1,60253.22,0.0689,2022-05-12 00:00:00.000000,2027-04-04 00:00:00.000000
400080,201058,1,41196.54,0.1429,2026-03-18 15:01:44.338382,2024-05-30 00:00:00.000000
400206,201304,2,95252.56,0.0516,2021-07-19 00:00:00.000000,2026-06-01 00:00:00.000000
400176,201303,1,33175.84,0.0971,2021-12-04 00:00:00.000000,2025-03-24 00:00:00.000000
400329,201552,1,28696.43,0.1398,2022-02-20 00:00:00.000000,2023-05-20 00:00:00.000000
400135,201405,1,97867.65,0.0388,2022-10-23 00:00:00.000000,2025-03-22 00:00:00.000000
400185,200007,1,76160.97,0.1143,2022-09-06 00:00:00.000000,2024-08-20 00:00:00.000000
400269,200515,1,83925.89,0.0534,2022-01-27 00:00:00.000000,2025-01-07 00:00:00.000000
400214,201288,1,34281.29,0.099,2021-10-30 00:00:00.000000,2023-09-03 00:00:00.000000
400084,201500,1,34450.44,0.0928,2021-03-23 00:00:00.000000,2026-03-20 00:00:00.000000
400249,201264,1,70023.33,0.1388,2021-08-25 00:00:00.000000,2024-08-16 00:00:00.000000
400284,200186,1,77030.49,0.0918,2021-12-16 00:00:00.000000,2024-07-09 00:00:00.000000
400066,201386,1,73638.7,0.0964,2022-12-06 00:00:00.000000,2026-05-28 15:01:44.339772
400113,200304,1,99488.79,0.1418,2021-04-05 00:00:00.000000,2024-05-05 00:00:00.000000
400322,201361,1,79157.89,0.1236,2023-02-20 00:00:00.000000,2025-03-18 00:00:00.000000
400018,201072,1,35503.34,0.0355,2022-12-04 00:00:00.000000,2027-01-18 00:00:00.000000
400184,200172,1,98129.49,0.0759,2021-11-07 00:00:00.000000,2026-06-22 00:00:00.000000
400259,200179,1,95795.36,0.1271,2022-04-10 00:00:00.000000,2025-08-18 00:00:00.000000
400132,200558,1,16185.43,0.133,2022-04-06 00:00:00.000000,2026-05-07 00:00:00.000000
400193,201320,1,78813.97,0.0647,2023-02-02 00:00:00.000000,2025-04-26 00:00:00.000000
